"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding","preferred"
"101146","101146","Boom Steenbakkerijenstraat","51.092480","4.377710","https://www.delijn.be/nl/haltes/101146","0","2"
"101147","101147","Boom Steenbakkerijenstraat","51.092760","4.377910","https://www.delijn.be/nl/haltes/101147","0","2"
"101148","101148","Boom De Schorre","51.089590","4.375810","https://www.delijn.be/nl/haltes/101148","0","2"
"101150","101150","Deurne Antwerp stadion","51.228340","4.469730","https://www.delijn.be/nl/haltes/101150","1","2"
"101151","101151","Boom Van Leriuslaan","51.099970","4.372510","https://www.delijn.be/nl/haltes/101151","0","2"
"101152","101152","Boom Van Leriuslaan","51.100050","4.372380","https://www.delijn.be/nl/haltes/101152","0","2"
"101155","101155","Reusel Evenementenhalte","51.360930","5.159290","https://www.delijn.be/nl/haltes/101155","0","2"
"101156","101156","Wilrijk Rooiboslaan","51.176550","4.381030","https://www.delijn.be/nl/haltes/101156","0","2"
"101157","101157","Wilrijk Terbekehofdreef","51.152460","4.381560","https://www.delijn.be/nl/haltes/101157","0","2"
"101158","101158","Liezele Achterheide","51.056140","4.265000","https://www.delijn.be/nl/haltes/101158","0","2"
"101159","101159","Boechout Stoofstraat","51.153180","4.524690","https://www.delijn.be/nl/haltes/101159","0","2"
"101160","101160","Borgerhout Apollo","51.200480","4.446800","https://www.delijn.be/nl/haltes/101160","1","2"
"101161","101161","Hemiksem Steenbakkerijstraat","51.137750","4.335590","https://www.delijn.be/nl/haltes/101161","1","2"
"101162","101162","Hemiksem Steenbakkerijstraat","51.137860","4.335470","https://www.delijn.be/nl/haltes/101162","0","2"
"101166","101166","Mortsel Deurnestraat","51.178220","4.443810","https://www.delijn.be/nl/haltes/101166","0","2"
"101167","101167","Mortsel Deurnestraat","51.178290","4.443340","https://www.delijn.be/nl/haltes/101167","0","2"
"101170","101170","Deurne Atheneum","51.222400","4.458940","https://www.delijn.be/nl/haltes/101170","0","2"
"101171","101171","Berchem Grotesteenweg","51.180310","4.434110","https://www.delijn.be/nl/haltes/101171","0","1"
"101172","101172","Berchem Grotesteenweg","51.180920","4.434430","https://www.delijn.be/nl/haltes/101172","0","1"
"101173","101173","Wilrijk Wolfbeemdstraat","51.177910","4.429130","https://www.delijn.be/nl/haltes/101173","0","2"
"101174","101174","Wilrijk Wolfbeemdstraat","51.178180","4.428730","https://www.delijn.be/nl/haltes/101174","1","2"
"101175","101175","Deurne Atheneum","51.222290","4.459460","https://www.delijn.be/nl/haltes/101175","0","2"
"101176","101176","Aartselaar Wullebeekstraat","51.124580","4.387210","https://www.delijn.be/nl/haltes/101176","0","2"
"101177","101177","Aartselaar Wullebeekstraat","51.124710","4.387220","https://www.delijn.be/nl/haltes/101177","0","2"
"101178","101178","Aartselaar Ooievaarsbos","51.124300","4.380750","https://www.delijn.be/nl/haltes/101178","0","2"
"101179","101179","Aartselaar Ooievaarsbos","51.124180","4.380780","https://www.delijn.be/nl/haltes/101179","0","2"
"101181","101181","Kapelle-op-den-Bos Kerk","51.012550","4.355080","https://www.delijn.be/nl/haltes/101181","0","2"
"101182","101182","Hingene Schoonaardestraat","51.089660","4.275970","https://www.delijn.be/nl/haltes/101182","0","2"
"101183","101183","Hingene Polderdam","51.114550","4.291810","https://www.delijn.be/nl/haltes/101183","0","2"
"101184","101184","Minderhout  Minderhoutsestraat oudjaar","51.432167","4.750828","https://www.delijn.be/nl/haltes/101184","0","2"
"101186","101186","Aartselaar Aquafin","51.148490","4.393940","https://www.delijn.be/nl/haltes/101186","1","2"
"101187","101187","Wilrijk Aquafin","51.149060","4.393610","https://www.delijn.be/nl/haltes/101187","1","2"
"101188","101188","Bornem Vitsdam","51.106740","4.239190","https://www.delijn.be/nl/haltes/101188","0","2"
"101189","101189","Buitenland Reek","51.110790","4.235100","https://www.delijn.be/nl/haltes/101189","0","2"
"101191","101191","Buitenland Reuzenhuis","51.114280","4.231750","https://www.delijn.be/nl/haltes/101191","0","1"
"101192","101192","Buitenland 't Buitenland","51.116000","4.223150","https://www.delijn.be/nl/haltes/101192","0","2"
"101193","101193","Weert Sas","51.117120","4.214700","https://www.delijn.be/nl/haltes/101193","0","2"
"101194","101194","Minderhout  Minderhoutsestraat oudjaar","51.432240","4.750961","https://www.delijn.be/nl/haltes/101194","0","2"
