"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"2035_2--GTRA26A_0","1","T3","Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou","Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou","0","https://www.delijn.be/nl/lijnen/2035/?richtingCode=0","00A6E2","000000"
"2035_2--GTRA26A_1","1","T3","Moscou - Zuid - Kouter - Sint-Pietersstation - Zwijnaarde","Moscou - Zuid - Kouter - Sint-Pietersstation - Zwijnaarde","0","https://www.delijn.be/nl/lijnen/2035/?richtingCode=1","00A6E2","000000"
"2039_2--GBUS26A_0","1","P3","Pendelbus Zwijnaarde - Sint-Pietersstation - Gent Zuid","Pendelbus Zwijnaarde - Sint-Pietersstation - Gent Zuid","3","https://www.delijn.be/nl/lijnen/2039/?richtingCode=0","00A6E2","000000"
"2039_2--GBUS26A_1","1","P3","Pendelbus Gent Zuid - Sint-Pietersstation - Zwijnaarde","Pendelbus Gent Zuid - Sint-Pietersstation - Zwijnaarde","3","https://www.delijn.be/nl/lijnen/2039/?richtingCode=1","00A6E2","000000"
"2042_2--GTRA25C_0","1","T4","UZ Gent - Sint-Pieters - Rabot - Muide - Lange Steenstraat","UZ Gent - Sint-Pieters - Rabot - Muide - Lange Steenstraat","0","https://www.delijn.be/nl/lijnen/2042/?richtingCode=0","E40521","FFFFFF"
"2042_2--GTRA26A_0","1","T4","Gent UZ - Sint-Pieters - Rabot - Muide - Lange Steenstraat","Gent UZ - Sint-Pieters - Rabot - Muide - Lange Steenstraat","0","https://www.delijn.be/nl/lijnen/2042/?richtingCode=0","E40521","FFFFFF"
"2045_2--GTRA25C_1","1","T4","Lange Steenstraat - Muide - Rabot - Sint-Pieters - UZ Gent","Lange Steenstraat - Muide - Rabot - Sint-Pieters - UZ Gent","0","https://www.delijn.be/nl/lijnen/2045/?richtingCode=1","E40521","FFFFFF"
"2045_2--GTRA26A_1","1","T4","Lange Steenstraat - Muide - Rabot - Sint-Pietersstation - UZ","Lange Steenstraat - Muide - Rabot - Sint-Pietersstation - UZ","0","https://www.delijn.be/nl/lijnen/2045/?richtingCode=1","E40521","FFFFFF"
"2055_2--GTRA25C_0","1","T4","UZ Gent - Gentbrugge Stelplaats","UZ Gent - Gentbrugge Stelplaats","0","https://www.delijn.be/nl/lijnen/2055/?richtingCode=0","E40521","FFFFFF"
"2055_2--GTRA25C_1","1","T4","Gentbrugge Stelplaats - UZ Gent","Gentbrugge Stelplaats - UZ Gent","0","https://www.delijn.be/nl/lijnen/2055/?richtingCode=1","E40521","FFFFFF"
"2055_2--GTRA26A_0","1","T4","UZ Gent - Gentbrugge Stelplaats","UZ Gent - Gentbrugge Stelplaats","0","https://www.delijn.be/nl/lijnen/2055/?richtingCode=0","E40521","FFFFFF"
"2055_2--GTRA26A_1","1","T4","Gentbrugge Stelplaats - UZ Gent","Gentbrugge Stelplaats - UZ Gent","0","https://www.delijn.be/nl/lijnen/2055/?richtingCode=1","E40521","FFFFFF"
"2057_2--GBUS25F_0","1","5a","Nieuw Gent - Zuid - Van Beverenplein - Won. Industrieweg","Nieuw Gent - Zuid - Van Beverenplein - Won. Industrieweg","3","https://www.delijn.be/nl/lijnen/2057/?richtingCode=0","EF7D00","000000"
"2057_2--GBUS25F_1","1","5a","Won. Industrieweg - Van Beverenplein - Zuid - Nieuw Gent","Won. Industrieweg - Van Beverenplein - Zuid - Nieuw Gent","3","https://www.delijn.be/nl/lijnen/2057/?richtingCode=1","EF7D00","000000"
"2057_2--GBUS26A_0","1","5a","Nieuw Gent - Zuid - V.Beverenplein - Wondelgem Industrieweg","Nieuw Gent - Zuid - V.Beverenplein - Wondelgem Industrieweg","3","https://www.delijn.be/nl/lijnen/2057/?richtingCode=0","EF7D00","000000"
"2057_2--GBUS26A_1","1","5a","Wondelgem Industrieweg - V.Beverenplein - Zuid - Nieuw Gent","Wondelgem Industrieweg - V.Beverenplein - Zuid - Nieuw Gent","3","https://www.delijn.be/nl/lijnen/2057/?richtingCode=1","EF7D00","000000"
"2058_2--GBUS25F_0","1","5b","Zuid - Tolpoort - Muide - Meulestede","Zuid - Tolpoort - Muide - Meulestede","3","https://www.delijn.be/nl/lijnen/2058/?richtingCode=0","EF7D00","000000"
"2058_2--GBUS25F_1","1","5b","Meulestede - Muide - Tolpoort - Zuid","Meulestede - Muide - Tolpoort - Zuid","3","https://www.delijn.be/nl/lijnen/2058/?richtingCode=1","EF7D00","000000"
"2058_2--GBUS26A_0","1","5b","Zuid - Tolpoort - Muide - Meulestede","Zuid - Tolpoort - Muide - Meulestede","3","https://www.delijn.be/nl/lijnen/2058/?richtingCode=0","EF7D00","000000"
